ID,Name,Gender,Age,Education,City,JoiningYear,Department,PaymentTier,Salary
10054,Samantha Griffith,Female,31,Bachelors,"Washington, D.C.",2017,HR,3,107100
10055,Cara Morton,Others,28,PHD,San Diego,2013,Customer Service,3,100800
10056,Hailey Schultz,Female,38,Bachelors,San Diego,2016,IT,3,114400
10057,Lola Park,Female,39,Masters,Boston,2014,IT,3,113900
10058,Anthony Figueroa,Male,32,Bachelors,San Diego,2013,Finance & Accounting,3,104700
10059,Freya Whitney,Female,36,Masters,Austin,2017,Marketing,2,92700
10060,Neil Carver,Male,29,Masters,Austin,2013,Customer Service,3,106700
10061,Brady Houston,Male,30,Bachelors,Boston,2015,Finance & Accounting,3,116100
10062,Jean Willis,Female,25,PHD,Houston,2013,R&D,2,79300
10063,Ella Vincent,Female,22,Bachelors,Los Angeles,2014,Procurement & Supply Chain,1,51000
10064,Selena Michael,Female,34,Bachelors,Denver,2016,R&D,3,108300
10065,Edward Faulkner,Male,40,Bachelors,"Washington, D.C.",2018,Customer Service,3,99400
10066,Ellen Berger,Female,26,PHD,Philadelphia,2013,Procurement & Supply Chain,3,100700
10067,Brooke Savage,Female,28,Bachelors,New York City,2014,Finance & Accounting,3,118200
10068,Amara Hancock,Female,24,Bachelors,"Washington, D.C.",2015,R&D,3,116200
10069,Martin Kirkland,Male,40,Masters,Austin,2017,Operations,3,116400
10070,Grayson Morales,Male,23,Bachelors,Houston,2018,Procurement & Supply Chain,3,112500
10071,Celine Olsen,Female,31,Masters,Los Angeles,2017,HR,3,102500
10072,Scarlett Mason,Female,25,Bachelors,New York City,2014,Legal,3,109100
10073,Alice Meyer,Female,27,Bachelors,Austin,2014,Sales,1,67400
10074,Simone Ballard,Female,25,Masters,Charlotte,2017,Operations,2,81800
10075,Nicholas Colon,Male,40,Bachelors,Seattle,2015,HR,3,114200
10076,Spencer Ramsey,Male,23,Bachelors,Fort Worth,2014,Finance & Accounting,1,60300
10077,Camila Bennett,Female,23,Bachelors,Los Angeles,2017,IT,3,104900
10078,Karter Winters,Male,39,Bachelors,Boston,2012,R&D,3,118000
10079,Layla Juarez,Female,37,PHD,San Antonio,2015,Operations,1,42900
10080,Kody Webb,Male,38,Bachelors,Charlotte,2017,Procurement & Supply Chain,3,107800
10081,Maeve Wallace,Female,31,Bachelors,"Washington, D.C.",2013,Customer Service,3,112300
10082,Veronica Gross,Female,38,Bachelors,Fort Worth,2016,Procurement & Supply Chain,3,114200
10083,Shannon Rios,Female,25,Bachelors,Columbus,2017,Procurement & Supply Chain,3,118400
10084,Casey Vega,Male,27,Bachelors,Charlotte,2015,Legal,3,105000
10085,Amelia Everett,Female,36,Bachelors,Chicago,2016,Legal,2,81700
10086,Juliana Baker,Female,27,Bachelors,Austin,2017,Finance & Accounting,2,89200
10087,Sean Kirk,Male,32,Masters,New York City,2015,Operations,2,70200
10088,Mae Cobb,Female,28,Bachelors,Dallas,2014,IT,3,105900
10089,Shannon Durham,Female,32,Masters,Boston,2012,HR,3,119900
10090,Aurora Lucero,Female,30,Bachelors,Los Angeles,2018,Legal,3,99700
10091,Mallory Casey,Female,22,Bachelors,Indianapolis,2015,IT,3,99800
10092,Hadley Melendez,Female,34,Bachelors,New York City,2017,R&D,2,71900
10093,Samantha Simon,Female,36,Masters,New York City,2013,Customer Service,3,110600
10094,Amara Haynes,Female,39,Bachelors,San Antonio,2014,Sales,3,107600
10095,Peter Dawson,Male,26,PHD,Phoenix,2018,Finance & Accounting,3,107900
10096,Kennedy Berger,Female,31,Bachelors,Phoenix,2016,Procurement & Supply Chain,3,101700
10097,Clarence Wilkerson,Others,27,Bachelors,Indianapolis,2014,Legal,3,98500
10098,Neil Savage,Male,29,Bachelors,Dallas,2014,Sales,3,110500
10099,Jade Crosby,Female,24,Bachelors,Chicago,2015,Customer Service,3,103300
10100,William Medina,Male,25,Masters,San Jose,2012,Procurement & Supply Chain,3,112700
10101,Walter Sloan,Male,25,Bachelors,Boston,2013,Operations,3,107400
10102,Elliott Gaines,Male,26,Masters,Charlotte,2017,IT,3,103900
10103,Raina Love,Female,28,Bachelors,Phoenix,2015,Sales,2,94200
10104,Karla Kaufman,Female,28,Bachelors,Columbus,2017,Sales,3,103100
10105,Hannah Godfrey,Female,28,Masters,Los Angeles,2015,Sales,1,61800
10106,Selena Norris,Female,25,Masters,San Antonio,2015,Marketing,3,115700
10107,Natalia Dickerson,Female,28,Bachelors,San Antonio,2017,Customer Service,3,115700
10108,Jack Pena,Male,25,Masters,Chicago,2013,Sales,3,116300
10109,Emily Dillon,Female,25,Bachelors,Charlotte,2015,Operations,2,89400
10110,Hakeem Salazar,Others,27,Bachelors,Los Angeles,2015,Legal,3,109600
10111,Ashley Lee,Female,27,Bachelors,Indianapolis,2017,IT,2,73500
10112,Victoria Sparks,Female,27,Bachelors,Denver,2013,Marketing,3,110100
10113,Xander Swanson,Others,25,Bachelors,Jacksonville,2012,Legal,3,102000
10114,Juliet Lucero,Female,28,Masters,Indianapolis,2017,HR,2,88500
10115,Juliet Campos,Female,26,Bachelors,Jacksonville,2014,Legal,1,69800
10116,Josie Hansen,Female,28,Bachelors,Phoenix,2015,Procurement & Supply Chain,3,102600
10117,Lydia Velez,Female,26,Masters,Columbus,2013,R&D,3,106700
10118,Lily Kelly,Female,26,Bachelors,San Jose,2017,Customer Service,3,106900
10119,Lara Anderson,Others,25,Bachelors,"Washington, D.C.",2017,Sales,2,94700
10120,Farah Puckett,Others,28,Bachelors,Seattle,2012,Legal,1,47000
10121,Dorothy Graham,Female,26,PHD,Fort Worth,2015,Finance & Accounting,3,108400
10122,Matilda Chandler,Female,25,Bachelors,Indianapolis,2015,IT,3,105500
10123,Stella Doyle,Female,26,Bachelors,Austin,2012,Operations,3,114600
10124,Josiah Cole,Male,28,Bachelors,Dallas,2014,IT,3,104400
10125,Robert Ford,Male,24,Masters,"Washington, D.C.",2014,IT,3,110100
10126,Gerald Cook,Male,28,Bachelors,Dallas,2013,Legal,3,106800
10127,Celeste Bowman,Female,27,Bachelors,Houston,2015,Sales,3,117200
10128,Beau Gaines,Male,25,Bachelors,Columbus,2018,Finance & Accounting,3,115500
10129,Edith Perez,Female,24,Masters,Charlotte,2013,Legal,1,60200
10130,Eden Vargas,Female,26,Bachelors,San Antonio,2017,IT,3,118600
10131,Alison Mcconnell,Female,28,Bachelors,San Antonio,2013,Procurement & Supply Chain,3,117000
10132,Delia Hall,Female,27,Masters,Austin,2016,Finance & Accounting,3,116400
10133,Angela Gallagher,Female,26,Masters,"Washington, D.C.",2017,IT,3,115300
10134,Tom Meyer,Male,24,Masters,Philadelphia,2017,HR,2,82300
10135,Ellie Collins,Female,26,Masters,Boston,2018,Procurement & Supply Chain,3,99500
10136,Neil Adkins,Male,25,Masters,Charlotte,2017,Legal,1,46000
10137,Logan Wheeler,Male,28,Bachelors,San Antonio,2012,R&D,3,117800
10138,Pedro Keith,Male,28,Bachelors,San Antonio,2017,Marketing,3,115700
10139,Kyle Peck,Male,26,Bachelors,Austin,2013,Customer Service,3,111700
10140,Kennedy Cameron,Female,27,Masters,Fort Worth,2013,Procurement & Supply Chain,3,104900
10141,Nora Avery,Female,24,Bachelors,San Jose,2017,HR,2,94400
10142,Sylvia Grant,Female,28,Bachelors,Los Angeles,2017,Operations,3,103000
10143,Alina Hampton,Female,26,Bachelors,Jacksonville,2016,Marketing,3,108700
10144,Luna Zimmerman,Female,27,Bachelors,Chicago,2013,Operations,3,113300
10145,Dean Banks,Male,28,Masters,Indianapolis,2015,Finance & Accounting,2,77400
10146,Andrew Payne,Male,25,Bachelors,Phoenix,2014,Customer Service,3,113000
10147,Lily Benson,Female,28,Bachelors,Columbus,2016,HR,3,110700
10148,Thomas Kane,Male,25,Masters,San Diego,2013,HR,1,63400
10149,Aarav Blanchard,Others,26,Bachelors,Charlotte,2015,Customer Service,3,104700
10150,Isaiah Mann,Male,27,Bachelors,New York City,2018,R&D,3,110300
10151,Lyla Valdez,Others,24,Bachelors,Dallas,2016,Marketing,3,106300
10152,Andrea Dillon,Female,24,Bachelors,"Washington, D.C.",2012,HR,2,76900
10153,Melissa Weber,Female,26,Bachelors,"Washington, D.C.",2014,Marketing,3,100300
10154,Evan Richardson,Male,24,Bachelors,San Diego,2016,Customer Service,2,83400
10155,Kobe Atwood,Male,26,Masters,New York City,2012,Operations,3,102900
10156,Iris Fowler,Others,28,Bachelors,Indianapolis,2013,Sales,3,105600
10157,Madison Figueroa,Female,24,Bachelors,Fort Worth,2012,HR,3,106400
10158,Joshua Palmer,Male,25,Bachelors,Chicago,2015,R&D,3,113200
10159,Alisha Adkins,Others,28,Bachelors,Dallas,2016,Sales,3,102600
10160,Inaya Wells,Others,28,Bachelors,Houston,2014,Finance & Accounting,3,107400
10161,Tania Davis,Female,26,Bachelors,Seattle,2013,Procurement & Supply Chain,3,106200
10162,Camille Chandler,Female,24,Masters,New York City,2017,Customer Service,3,110500
10163,Tiana Keller,Others,25,Bachelors,Philadelphia,2016,Marketing,3,104500
10164,Adaline Medina,Female,25,Bachelors,New York City,2015,Procurement & Supply Chain,3,118700
10165,Aurora Franco,Female,27,Bachelors,Phoenix,2014,Sales,3,100700
10166,Cruz Cohen,Male,24,Bachelors,Philadelphia,2012,Procurement & Supply Chain,3,114500
10167,Russell Peters,Male,25,Bachelors,Dallas,2014,Marketing,3,116300
10168,Siena Michael,Others,28,Bachelors,Charlotte,2015,Operations,3,117500
10169,Elliot Joseph,Male,26,Masters,San Antonio,2015,Marketing,3,112900
10170,Tobias Hawkins,Male,28,Bachelors,Austin,2014,Finance & Accounting,3,101200
10171,Ophelia Miller,Female,25,Bachelors,Boston,2015,Sales,3,117800
10172,Karl Pacheco,Male,28,Masters,Indianapolis,2015,Procurement & Supply Chain,2,73000
10173,Milo Emerson,Male,27,Bachelors,Seattle,2014,Legal,3,104900
10174,Tiana Lloyd,Others,26,Bachelors,San Antonio,2013,IT,3,99900
10175,Dominic Velez,Male,26,Bachelors,Chicago,2016,Customer Service,3,116800
10176,Amira Solomon,Female,25,Bachelors,Fort Worth,2012,Finance & Accounting,3,115000
10177,Roman Griffin,Male,25,Bachelors,San Jose,2015,Legal,3,105200
10178,Eduardo Wilcox,Male,24,Bachelors,San Antonio,2014,Sales,3,117800
10179,Elliott Wheeler,Male,27,Bachelors,San Antonio,2012,Customer Service,3,112300
10180,Pedro Wilcox,Male,27,Masters,Jacksonville,2017,Sales,3,106100
10181,Marina Holden,Female,27,Bachelors,San Antonio,2015,HR,3,113100
10182,Bella Sweeney,Female,24,Bachelors,San Diego,2018,IT,3,108000
10183,Sonia Oconnell,Female,27,Masters,"Washington, D.C.",2017,IT,3,119200
10184,Naomi May,Female,28,Masters,Philadelphia,2017,Sales,2,95600
10185,Edward Dodson,Male,24,Masters,Houston,2017,Sales,2,95000
10186,Whitney Adkins,Female,25,Masters,Seattle,2016,Operations,3,111200
10187,Colton Crane,Others,28,PHD,Charlotte,2015,HR,3,100600
10188,Daniela Phillips,Others,26,Bachelors,San Diego,2017,HR,2,92100
10189,Drake Hancock,Male,27,Bachelors,New York City,2013,Finance & Accounting,2,96300
10190,Oscar Sandoval,Male,26,Bachelors,Philadelphia,2015,IT,3,113000
10191,Owen Salazar,Male,26,Bachelors,Phoenix,2015,Operations,3,114900
10192,Kelly Smith,Female,28,Bachelors,San Jose,2013,Sales,3,113300
10193,Sylvia Mayo,Female,27,Bachelors,Phoenix,2015,Marketing,3,107800
10194,June Schneider,Female,25,Bachelors,Philadelphia,2013,IT,3,106700
10195,Amelie Graves,Others,28,Bachelors,Indianapolis,2013,R&D,3,119100
10196,Gabriel Mendoza,Male,24,Bachelors,Los Angeles,2017,Procurement & Supply Chain,3,107600
10197,Annabelle Wolf,Female,27,Bachelors,Boston,2013,Finance & Accounting,3,100500
10198,Caroline Morales,Female,28,Bachelors,Columbus,2015,Operations,3,100200
10199,Francis Maynard,Male,28,Bachelors,Columbus,2015,Finance & Accounting,3,119200
10200,Avery Byrd,Male,25,Bachelors,New York City,2014,Finance & Accounting,2,75500
10201,Magnolia Lucas,Others,25,Bachelors,Denver,2014,IT,3,103400
10202,Leah Black,Female,27,Bachelors,Los Angeles,2017,IT,3,106900
10203,Valerie Mahoney,Female,26,Bachelors,Philadelphia,2014,Finance & Accounting,2,79600
10204,Paisley Hurley,Female,24,PHD,Dallas,2013,Finance & Accounting,3,112200
10205,Parker Herring,Male,26,Bachelors,"Washington, D.C.",2015,HR,2,81800
10206,Cassandra Cochran,Female,25,Bachelors,Phoenix,2017,HR,3,103400
10207,Flynn Decker,Others,27,Masters,Houston,2013,Customer Service,2,84100
10208,Keira Kirkland,Female,28,Masters,San Jose,2017,Operations,3,118100
10209,Yasmine Lewis,Female,25,Bachelors,New York City,2012,Marketing,3,114700
10210,Leo Kelly,Others,27,Bachelors,Indianapolis,2017,Finance & Accounting,3,112000
10211,Charlie Oliver,Male,27,Masters,"Washington, D.C.",2017,Sales,2,87900
10212,Tom Watkins,Male,28,Masters,San Jose,2013,Legal,2,70200
10213,Cesar Kaufman,Others,28,Masters,Dallas,2017,Customer Service,3,118000
10214,Amira Reese,Female,27,Bachelors,Jacksonville,2018,Marketing,3,110400
10215,Cora Nelson,Female,25,Bachelors,Seattle,2014,Sales,3,117800
10216,Miles Henry,Male,27,Masters,Fort Worth,2017,Marketing,3,106200
10217,Desiree Logan,Female,26,Masters,Denver,2013,Legal,3,115600
10218,Rowan Sanford,Female,25,Bachelors,San Diego,2013,HR,2,79100
10219,Brynn Dean,Female,26,Masters,San Diego,2012,IT,3,106900
10220,Kate Bryant,Others,25,Bachelors,Seattle,2016,Procurement & Supply Chain,3,118000
10221,Kiera Ludwig,Others,26,Bachelors,Boston,2013,Marketing,2,93500
10222,Blair Berry,Male,28,Bachelors,Houston,2018,HR,3,111900
10223,Rhea Doyle,Others,27,Bachelors,Denver,2013,Operations,3,109200
10224,Eden Lamb,Female,24,Bachelors,Columbus,2015,Sales,1,52600
10225,Eric Nash,Male,28,Bachelors,Austin,2013,HR,3,113700
10226,Michael Stone,Male,27,Bachelors,Charlotte,2015,Finance & Accounting,2,91000
10227,Marlon Pena,Male,25,Bachelors,Fort Worth,2018,IT,3,116800
10228,Cassandra Johns,Female,27,Bachelors,Fort Worth,2014,Marketing,2,76600
10229,Reagan Shaffer,Others,24,Bachelors,Phoenix,2013,Finance & Accounting,3,98900
10230,Bruno Howard,Others,24,Bachelors,Dallas,2014,Marketing,3,119200
10231,Kody Smith,Male,25,PHD,Columbus,2015,Customer Service,2,78000
10232,Kaia Hunt,Others,26,Bachelors,Dallas,2014,Sales,3,116200
10233,Anita Dennis,Female,24,Bachelors,Denver,2018,Sales,3,107700
10234,Carter Robertson,Male,25,Masters,New York City,2015,Customer Service,2,74700
10235,Eleanor Crawford,Female,24,Bachelors,Chicago,2015,Procurement & Supply Chain,3,114600
10236,Miles Payne,Male,24,Bachelors,"Washington, D.C.",2014,Legal,3,107700
10237,George Small,Male,26,Masters,Columbus,2017,Legal,2,91700
10238,Naomi Glenn,Female,28,Bachelors,Philadelphia,2012,Marketing,3,100500
10239,Addison Frederick,Others,26,Masters,Seattle,2017,R&D,2,86500
10240,Ellen Sexton,Female,25,Bachelors,San Diego,2016,Customer Service,3,109600
10241,Alicia Mccall,Female,24,Bachelors,Dallas,2017,Marketing,3,118300
10242,Athena Mann,Female,28,Bachelors,Denver,2013,R&D,2,84300
10243,Percy Spencer,Male,25,Bachelors,Boston,2014,Marketing,3,101700
10244,Talia Haley,Female,25,Bachelors,Fort Worth,2014,Operations,3,116700
10245,Jaden Buckley,Male,24,Bachelors,Dallas,2014,R&D,2,78800
10246,Colton Whitaker,Others,28,Bachelors,San Antonio,2015,R&D,3,117300
10247,Jasper Holmes,Male,27,Bachelors,Columbus,2015,R&D,3,100100
10248,Erica Hoffman,Female,26,Bachelors,Indianapolis,2016,Sales,3,104600
10249,Eduardo Oconnell,Male,26,Masters,Jacksonville,2015,Finance & Accounting,3,113700
10250,Veronica Webster,Female,28,Bachelors,Jacksonville,2016,IT,1,65000
10251,Tyler Lee,Male,25,Bachelors,Philadelphia,2014,IT,3,112600
10252,India Maynard,Others,27,Bachelors,Charlotte,2014,R&D,3,102100
10253,Dylan Dunn,Male,28,Bachelors,"Washington, D.C.",2017,Legal,3,107000
10254,Dorothy Klein,Female,24,Masters,Seattle,2018,Customer Service,3,115500
10255,Ana Kelley,Female,25,Bachelors,Philadelphia,2017,Procurement & Supply Chain,2,92900
10256,Victoria Garner,Female,24,Bachelors,Fort Worth,2018,Legal,2,82800
10257,Valentina Walton,Female,28,Masters,San Jose,2017,HR,2,77800
10258,Inaya Barton,Others,27,Bachelors,Phoenix,2013,Marketing,1,44100
10259,Mila Rhodes,Female,27,Bachelors,Fort Worth,2017,IT,2,78700
10260,Eliseo Heath,Others,28,Bachelors,Boston,2017,Sales,3,106600
10261,Marcus Richards,Male,27,Bachelors,"Washington, D.C.",2016,Sales,2,96000
10262,Neha Swanson,Female,24,Masters,San Jose,2018,Sales,3,112600
10263,Bonnie Savage,Female,26,Bachelors,Fort Worth,2012,Finance & Accounting,1,56100
10264,Elijah Sweet,Male,26,Bachelors,Chicago,2016,R&D,3,113900
10265,Reagan Patterson,Others,27,Masters,Jacksonville,2016,R&D,1,65200
10266,Jillian Blackburn,Female,26,Bachelors,Austin,2015,Legal,3,108300
10267,Aspen Dixon,Female,27,Bachelors,Austin,2012,R&D,3,108700
10268,Athena Valdez,Female,24,Bachelors,Houston,2013,R&D,3,112600
10269,Irene Mendoza,Others,26,Bachelors,San Antonio,2018,Customer Service,3,102500
10270,Sean Reese,Male,26,Masters,"Washington, D.C.",2017,HR,2,85300
10271,Jack Tillman,Male,28,Masters,San Jose,2017,Finance & Accounting,2,82900
10272,Aiden Norton,Others,28,Bachelors,Phoenix,2013,Sales,3,115000
10273,Talia Mclaughlin,Female,25,Masters,Dallas,2013,IT,3,115600
10274,Monica Mcpherson,Female,28,Bachelors,Charlotte,2018,Finance & Accounting,3,98200
10275,Felix Mccarthy,Male,27,Bachelors,Chicago,2013,HR,3,100600
10276,Aarav Bolton,Others,25,Bachelors,Phoenix,2012,Customer Service,3,107000
10277,Ethan Leary,Male,28,Bachelors,San Antonio,2014,R&D,3,110900
10278,Elsa Lowe,Female,28,Bachelors,Chicago,2017,HR,3,106200
10279,Kaleb Underwood,Male,28,Masters,San Diego,2017,Legal,2,80800
10280,Karl York,Male,25,Bachelors,Jacksonville,2014,Finance & Accounting,3,109700
10281,Kiera Moody,Others,26,Masters,Los Angeles,2017,Sales,3,117400
10282,Coraline Anderson,Others,25,Bachelors,Los Angeles,2015,Sales,1,60400
10283,India Mcdonald,Others,27,Masters,Indianapolis,2013,HR,3,117900
10284,Pauline Allison,Female,24,PHD,Indianapolis,2014,HR,3,98100
10285,Dominic Combs,Male,27,Masters,Chicago,2017,Procurement & Supply Chain,2,80200
10286,Lucia French,Female,26,Bachelors,San Diego,2018,IT,3,98900
10287,Yosef Norton,Others,26,Bachelors,Charlotte,2012,Sales,3,107300
10288,Yvette Roberts,Female,27,Masters,Boston,2015,Legal,3,117000
10289,Veronica Mccarthy,Female,26,Bachelors,Houston,2018,Customer Service,3,102800
10290,Colin Jordan,Male,24,Bachelors,San Antonio,2016,Sales,3,109600
10291,Eden Meyer,Female,25,Masters,San Diego,2017,HR,2,91100
10292,Chase Gilmore,Male,28,Bachelors,Phoenix,2017,Operations,2,96600
10293,Bianca Kline,Female,27,Bachelors,Columbus,2012,Finance & Accounting,3,114700
10294,Sterling Ross,Male,26,Masters,Boston,2013,HR,3,104500
10295,Ethan Cole,Male,26,Bachelors,San Jose,2015,Customer Service,3,102900
10296,Amir Atwood,Others,28,Bachelors,Philadelphia,2014,Procurement & Supply Chain,3,102700
10297,Jessica Davis,Female,24,Bachelors,"Washington, D.C.",2016,Sales,3,116800
10298,Siena Warren,Others,28,Bachelors,San Diego,2012,Operations,3,107300
10299,Leslie Holcomb,Female,27,Bachelors,Phoenix,2012,IT,3,108100
10300,Abigail Owens,Female,26,Bachelors,Austin,2013,Operations,3,118400
10301,Keegan Hardy,Others,28,Bachelors,Jacksonville,2014,IT,3,118700
10302,Theo Kendall,Male,27,Bachelors,Fort Worth,2014,Operations,3,106400
10303,Madeline Perez,Female,26,Bachelors,Houston,2015,Marketing,3,106700
10304,Elliott Maxwell,Male,26,Masters,Phoenix,2014,HR,3,105300
10305,William Stevenson,Male,25,PHD,Boston,2015,Legal,3,103700
10306,Raina Strickland,Female,25,Masters,New York City,2015,Legal,3,115300
10307,Karl Griffin,Male,27,Bachelors,Columbus,2012,Operations,3,112200
10308,Hailey Holt,Female,24,Masters,Seattle,2017,Legal,2,95900
10309,Caroline Marks,Female,24,Bachelors,Fort Worth,2016,Legal,3,101200
10310,Blake Pollard,Male,28,Masters,Charlotte,2015,IT,3,104600
10311,Atlas Harris,Others,24,Bachelors,New York City,2017,Sales,3,114000
10312,Arya Fitzgerald,Others,25,Bachelors,San Jose,2017,Sales,3,100800
10313,Spencer Wright,Male,25,Bachelors,Philadelphia,2017,Finance & Accounting,1,70000
10314,Gabriel Kramer,Male,28,Masters,San Antonio,2015,HR,3,98900
10315,Selena Bailey,Female,26,Bachelors,New York City,2017,Finance & Accounting,3,109200
10316,Brandon Campbell,Male,24,Bachelors,Dallas,2014,IT,3,106300
10317,August Wyatt,Male,25,Bachelors,Fort Worth,2014,Legal,3,102400
10318,Eric Watts,Male,26,Bachelors,"Washington, D.C.",2018,Sales,3,113400
10319,Felix Ashley,Male,27,Bachelors,Seattle,2016,Procurement & Supply Chain,3,108000
10320,Drake Ochoa,Male,28,Bachelors,San Jose,2017,Customer Service,3,102500
10321,Harrison Sutton,Male,28,Bachelors,Houston,2012,IT,3,110500
10322,Violet Blackburn,Female,24,Masters,Boston,2012,Finance & Accounting,3,106500
10323,Amelie Robles,Others,26,Bachelors,Dallas,2013,IT,3,98200
10324,Evan Valdez,Male,26,Bachelors,Fort Worth,2015,Marketing,3,113700
10325,Hakeem Hoffman,Others,28,Bachelors,Denver,2017,Finance & Accounting,3,101400
10326,Savannah Todd,Female,25,Bachelors,Austin,2018,Customer Service,3,118700
10327,Tania Rocha,Female,24,Masters,Los Angeles,2017,Customer Service,3,104400
10328,Renee Huff,Female,28,Bachelors,New York City,2013,Finance & Accounting,3,109100
10329,Karl Cabrera,Male,24,Bachelors,Chicago,2017,Operations,3,100000
10330,Anthony Whitaker,Male,25,Masters,Boston,2017,Legal,2,77700
10331,Stephen Roman,Male,28,Bachelors,Boston,2013,HR,2,73900
10332,Toby Armstrong,Male,24,Bachelors,Austin,2015,Customer Service,3,117600
10333,Valerie Salinas,Female,26,Bachelors,Charlotte,2016,Finance & Accounting,3,115800
10334,Marie Snider,Female,27,Bachelors,Indianapolis,2015,Procurement & Supply Chain,2,74700
10335,Lincoln Stark,Male,24,Bachelors,Phoenix,2018,IT,3,111600
10336,Riley Humphrey,Male,27,Bachelors,"Washington, D.C.",2013,Marketing,3,101000
10337,Kian Callahan,Others,24,Bachelors,Jacksonville,2013,Procurement & Supply Chain,3,102600
10338,Adam Haynes,Male,24,Bachelors,Philadelphia,2013,Legal,3,99300
10339,Nolan Luna,Male,27,Bachelors,New York City,2013,Operations,3,113800
